district,district_id,state_id
jalgaon,MH_Jalgaon,MH
kutch,GJ_Kutch,GJ
parbhani,MH_Parbhani,MH
coimbatore,TN_Coimbatore,TN
haridwar,UT_Haridwar,UT
karimnagar,TG_Karimnagar,TG
idukki,KL_Idukki,KL
y.s.r. kadapa,AP_Y.S.R. Kadapa,AP
pali,RJ_Pali,RJ
tirap,AR_Tirap,AR
muzaffarnagar,UP_Muzaffarnagar,UP
anantnag,JK_Anantnag,JK
bhiwani,HR_Bhiwani,HR
imphal west,MN_Imphal West,MN
thiruvallur,TN_Thiruvallur,TN
akola,MH_Akola,MH
navsari,GJ_Navsari,GJ
ludhiana,PB_Ludhiana,PB
betul,MP_Betul,MP
kallakurichi,TN_Kallakurichi,TN
dungarpur,RJ_Dungarpur,RJ
howrah,WB_Howrah,WB
jamui,BR_Jamui,BR
bidar,KA_Bidar,KA
karnal,HR_Karnal,HR
satna,MP_Satna,MP
hoshiarpur,PB_Hoshiarpur,PB
chandauli,UP_Chandauli,UP
kullu,HP_Kullu,HP
khargone,MP_Khargone,MP
mahabubnagar,TG_Mahabubnagar,TG
jalpaiguri,WB_Jalpaiguri,WB
karimganj,AS_Karimganj,AS
jogulamba gadwal,TG_Jogulamba Gadwal,TG
imphal east,MN_Imphal East,MN
west karbi anglong,AS_West Karbi Anglong,AS
khunti,JH_Khunti,JH
ghaziabad,UP_Ghaziabad,UP
jamnagar,GJ_Jamnagar,GJ
hamirpur,HP_Hamirpur,HP
jaisalmer,RJ_Jaisalmer,RJ
sukma,CT_Sukma,CT
devbhumi dwarka,GJ_Devbhumi Dwarka,GJ
anjaw,AR_Anjaw,AR
warangal rural,TG_Warangal Rural,TG
panipat,HR_Panipat,HR
kamrup,AS_Kamrup,AS
kondagaon,CT_Kondagaon,CT
salem,TN_Salem,TN
perambalur,TN_Perambalur,TN
nalgonda,TG_Nalgonda,TG
bhilwara,RJ_Bhilwara,RJ
gurugram,HR_Gurugram,HR
paschim bardhaman,WB_Paschim Bardhaman,WB
south tripura,TR_South Tripura,TR
vizianagaram,AP_Vizianagaram,AP
koraput,OR_Koraput,OR
shivpuri,MP_Shivpuri,MP
kulgam,JK_Kulgam,JK
senapati,MN_Senapati,MN
vellore,TN_Vellore,TN
ariyalur,TN_Ariyalur,TN
ramanagara,KA_Ramanagara,KA
dima hasao,AS_Dima Hasao,AS
gadchiroli,MH_Gadchiroli,MH
lakhimpur,AS_Lakhimpur,AS
kurukshetra,HR_Kurukshetra,HR
north garo hills,ML_North Garo Hills,ML
dindori,MP_Dindori,MP
jashpur,CT_Jashpur,CT
srikakulam,AP_Srikakulam,AP
hazaribagh,JH_Hazaribagh,JH
dhanbad,JH_Dhanbad,JH
west jaintia hills,ML_West Jaintia Hills,ML
nagpur,MH_Nagpur,MH
alipurduar,WB_Alipurduar,WB
daman,DN_Daman,DN
jamtara,JH_Jamtara,JH
hailakandi,AS_Hailakandi,AS
bhandara,MH_Bhandara,MH
jhajjar,HR_Jhajjar,HR
singrauli,MP_Singrauli,MP
bijnor,UP_Bijnor,UP
sant kabir nagar,UP_Sant Kabir Nagar,UP
faridkot,PB_Faridkot,PB
lakhisarai,BR_Lakhisarai,BR
kamrup metropolitan,AS_Kamrup Metropolitan,AS
kamareddy,TG_Kamareddy,TG
simdega,JH_Simdega,JH
