Districtid,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20,week21,week22,week23,week24,week25,week26,week27,week28,week29,week30,week31,week32,week33,week34,week35,week36,week37,week38,week39,week40,week41,week42,week43,week44,week45,week46,week47,week48,week49,week50,week51,week52,week53,week54,week55,week56,week57,week58,week59,week60,week61,week62,week63,week64,week65,week66,week67,week68,week69,week70,week71,week72,week73,week74
AP_Anantapur,0,0,0,0,0,0,71,31,20,14,73,65,144,371,531,779,1062,1343,4485,6838,7422,5698,5380,5133,5087,4238,3513,3431,2594,2313,1632,1322,1016,863,634,325,226,171,164,132,127,126,116,63,51,37,32,16,29,35,48,47,98,268,331,786,1817,4641,8625,12324,14123,15987,9691,7126,5562,2420,1701,980,654,498,457,335,264,235
AP_Chittoor,0,0,0,0,0,0,80,16,77,35,45,45,52,165,294,441,1259,1698,2662,4458,4922,6229,6418,5869,6869,6807,5618,5184,5255,5111,3588,2897,2248,2095,1538,989,615,582,581,639,450,417,305,180,195,90,93,89,95,146,203,336,369,793,1359,2940,5642,9261,13808,15616,16284,18635,15148,11301,8014,6148,4517,3677,2740,2354,2248,2164,2305,1568
AP_East Godavari,0,0,0,0,0,0,45,1,6,7,131,82,48,165,460,544,885,3125,6892,8880,8889,9258,8571,8941,8774,9690,9853,7937,6775,5383,4269,3495,2638,2657,1901,1188,716,406,335,320,289,199,168,132,107,89,63,42,38,53,60,107,189,425,189,359,3436,5104,10145,15888,19837,22783,18146,15918,9615,7605,6037,4698,4460,3117,2738,2075,2690,2321
AP_Guntur,0,0,0,0,0,0,308,68,37,13,52,78,56,130,361,567,1197,1677,4912,6213,5168,4712,4336,4785,4762,5114,4318,3845,3517,3185,2441,2898,2470,2012,1558,1107,849,537,592,353,304,298,253,180,120,108,66,52,45,62,67,80,331,701,1790,2857,4224,8540,12363,11754,13053,10305,6501,5110,3416,2545,1856,1876,1523,1332,998,1131,1201,1223
AP_Krishna,0,0,0,0,0,0,258,80,29,29,60,70,139,317,270,429,617,853,2097,1952,2653,2228,1652,2009,2283,2852,2714,2563,2563,2771,2607,2695,2534,2203,1517,1266,947,735,633,479,397,370,274,164,161,167,117,60,39,56,82,129,188,492,1037,1674,2155,3512,3970,6570,6846,7085,4824,4681,3049,2840,2390,1939,1557,1596,1545,1778,1710,1041
AP_Kurnool,0,0,0,0,0,0,436,117,55,30,66,58,163,322,437,670,814,2513,4676,7724,7951,6714,5404,5098,4758,3178,2570,1702,1396,1078,797,429,312,230,217,139,154,79,89,107,47,52,82,59,47,39,22,15,12,20,38,31,148,267,425,1085,2524,6246,6280,13208,8427,7255,7192,3457,1745,1486,881,590,431,200,234,163,280,101
AP_Prakasam,0,0,0,0,0,0,61,0,2,4,8,10,14,76,97,401,365,676,1593,2262,2536,3147,4406,5767,6607,7622,5172,5237,4256,3707,2222,1971,1182,1004,509,287,226,166,170,125,95,59,39,29,40,24,10,9,4,7,5,32,37,126,324,792,2151,2370,4457,9490,8000,9232,6703,4749,3876,3184,2182,2362,2104,1926,1810,1517,1329,825
AP_S.P.S. Nellore,0,0,0,0,0,0,90,6,53,33,57,65,79,76,102,124,346,964,2030,3850,4649,4217,4635,7190,7413,6551,4753,3210,3358,2539,1539,959,608,780,578,261,251,220,167,158,132,67,105,43,23,39,35,37,35,43,33,30,61,243,605,1381,2180,6036,9239,9045,10675,8742,6287,3791,2245,1883,1633,1448,1585,1506,1650,1521,1596,1472
AP_Srikakulam,0,0,0,0,0,0,5,0,2,9,7,8,8,20,3,31,757,1184,2264,2727,3502,3431,4264,4014,4930,4331,3971,2622,2227,1169,952,1009,485,632,431,245,196,101,146,136,86,58,53,37,38,30,23,18,6,39,50,36,66,187,301,899,3130,8622,10621,13805,8231,9700,6275,3383,2465,2433,1673,737,611,447,383,352,331,445
AP_Visakhapatnam,0,0,0,0,0,0,29,33,10,9,18,12,90,60,200,172,695,504,4165,5923,6612,5764,5057,5841,5020,3219,3075,2531,1788,1499,1262,1349,876,854,571,391,487,307,190,212,201,202,179,112,101,130,99,73,37,63,91,105,184,633,1239,2029,3081,5302,8440,14487,14681,14692,10581,5575,3591,1946,1302,1000,921,979,805,756,678,578
AP_Vizianagaram,0,0,0,0,0,0,0,4,3,9,6,15,25,16,59,60,298,694,1736,1398,4125,3797,3223,3833,4017,4055,3605,2825,2099,1261,935,707,495,532,426,192,184,132,83,109,50,27,33,35,23,7,10,5,4,11,6,10,30,87,145,336,1411,2865,4493,6737,5851,6522,4044,2028,1852,1498,728,652,327,283,223,157,172,156
AP_West Godavari,0,0,0,0,0,0,59,9,2,5,8,99,90,226,306,320,487,1333,4609,5251,4211,5674,6500,5796,6817,7596,7343,6763,5776,4934,4389,3732,3392,2570,1807,1329,828,599,426,345,125,137,156,43,68,65,34,18,29,23,32,16,23,84,86,125,362,878,3940,8765,9180,12489,9234,6645,4705,5022,4046,2973,2427,1746,1652,1000,879,1349
AP_Y.S.R. Kadapa,0,0,0,0,0,0,83,13,6,5,6,37,92,88,353,510,499,728,1941,4062,4191,3908,3553,4672,5830,5003,3684,3125,2659,2553,1996,1417,1066,950,538,418,292,207,144,145,124,126,76,58,54,43,26,30,23,31,42,48,79,138,305,697,1436,2094,3795,6648,10693,7313,5056,3857,3576,2833,1759,1194,1090,960,648,713,648,619
AR_Anjaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,30,6,6,6,26,15,14,41,5,9,1,6,7,9,3,4,2,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,54,32,76,45,104,37,59,26,56,52,75,63,34,36,21
