stateid,populationleft,", rate of vaccination",date
AN_Andaman and Nicobar Islands,165560,2526.8571428571427,19/10/2021
AP_Andhra Pradesh,67103654,148431.14285714287,10/11/2022
AR_Arunachal Pradesh,702310,1834.4285714285713,01/09/2022
AS_Assam,21016359,177262.2857142857,11/12/2021
BR_Bihar,81153933,317408.4285714286,27/04/2022
CH_Chandigarh,368841,6710.0,08/10/2021
CT_Chhattisgarh,16422154,37209.57142857143,30/10/2022
DN_Dadra and Nagar Haveli and Daman and Diu,44343,2549.285714285714,01/09/2021
DL_Delhi,9043680,72391.57142857143,17/12/2021
GA_Goa,371160,3632.8571428571427,25/11/2021
GJ_Gujarat,32978793,394058.4285714286,06/11/2021
HR_Haryana,15399141,77112.14285714286,02/03/2022
HP_Himachal Pradesh,2674383,108652.85714285714,08/09/2021
JK_Jammu and Kashmir,7306755,44525.71428571428,26/01/2022
JH_Jharkhand,24730441,77175.42857142857,01/07/2022
KA_Karnataka,35980412,167898.57142857142,17/03/2022
KL_Kerala,17989227,266408.14285714284,21/10/2021
LD_Lakshadweep,13622,118.14285714285714,08/12/2021
MP_Madhya Pradesh,43415536,350480.5714285714,16/12/2021
MH_Maharashtra,77635565,234940.0,11/07/2022
MN_Manipur,1704912,3286.285714285714,15/01/2023
ML_Meghalaya,2034476,5198.142857142857,10/09/2022
MZ_Mizoram,544293,651.1428571428571,28/11/2023
NL_Nagaland,1348684,1365.857142857143,28/04/2024
OR_Odisha,28247133,183224.57142857142,16/01/2022
PY_Puducherry,651619,2849.1428571428573,31/03/2022
PB_Punjab,19882243,77846.28571428571,27/04/2022
RJ_Rajasthan,41837690,260147.85714285713,22/01/2022
SK_Sikkim,113423,525.0,19/03/2022
TN_Tamil Nadu,51639405,177212.0,02/06/2022
TR_Tripura,1268627,4058.1428571428573,23/06/2022
UP_Uttar Pradesh,154613976,435700.0,04/08/2022
UT_Uttarakhand,5062991,67508.0,28/10/2021
WB_West Bengal,68816439,259269.85714285713,07/05/2022
