district,district_id,state_id
sambalpur,OR_Sambalpur,OR
hassan,KA_Hassan,KA
chandel,MN_Chandel,MN
firozabad,UP_Firozabad,UP
patna,BR_Patna,BR
bengaluru rural,KA_Bengaluru Rural,KA
morbi,GJ_Morbi,GJ
kodagu,KA_Kodagu,KA
bundi,RJ_Bundi,RJ
thiruvananthapuram,KL_Thiruvananthapuram,KL
gautam buddha nagar,UP_Gautam Buddha Nagar,UP
imphal east,MN_Imphal East,MN
bharatpur,RJ_Bharatpur,RJ
krishna,AP_Krishna,AP
hoshangabad,MP_Hoshangabad,MP
vizianagaram,AP_Vizianagaram,AP
chandauli,UP_Chandauli,UP
gadag,KA_Gadag,KA
s.a.s. nagar,PB_S.A.S. Nagar,PB
kangra,HP_Kangra,HP
mahabubabad,TG_Mahabubabad,TG
dibrugarh,AS_Dibrugarh,AS
ramanagara,KA_Ramanagara,KA
kendujhar,OR_Kendujhar,OR
ernakulam,KL_Ernakulam,KL
chandrapur,MH_Chandrapur,MH
rewa,MP_Rewa,MP
dausa,RJ_Dausa,RJ
east garo hills,ML_East Garo Hills,ML
shahdara,DL_Shahdara,DL
lakhisarai,BR_Lakhisarai,BR
fatehabad,HR_Fatehabad,HR
mahe,PY_Mahe,PY
agra,UP_Agra,UP
kendrapara,OR_Kendrapara,OR
bahraich,UP_Bahraich,UP
jalore,RJ_Jalore,RJ
kakching,MN_Kakching,MN
dakshin bastar dantewada,CT_Dakshin Bastar Dantewada,CT
udaipur,RJ_Udaipur,RJ
nayagarh,OR_Nayagarh,OR
upper dibang valley,AR_Upper Dibang Valley,AR
thrissur,KL_Thrissur,KL
simdega,JH_Simdega,JH
rajanna sircilla,TG_Rajanna Sircilla,TG
chirang,AS_Chirang,AS
doda,JK_Doda,JK
ramanathapuram,TN_Ramanathapuram,TN
saraikela-kharsawan,JH_Saraikela-Kharsawan,JH
garhwa,JH_Garhwa,JH
solapur,MH_Solapur,MH
kiphire,NL_Kiphire,NL
nainital,UT_Nainital,UT
rajkot,GJ_Rajkot,GJ
chikkamagaluru,KA_Chikkamagaluru,KA
ranchi,JH_Ranchi,JH
wardha,MH_Wardha,MH
panipat,HR_Panipat,HR
north tripura,TR_North Tripura,TR
mahendragarh,HR_Mahendragarh,HR
rajsamand,RJ_Rajsamand,RJ
lawngtlai,MZ_Lawngtlai,MZ
west kameng,AR_West Kameng,AR
sehore,MP_Sehore,MP
raichur,KA_Raichur,KA
shahid bhagat singh nagar,PB_Shahid Bhagat Singh Nagar,PB
aurangabad,BR_Aurangabad,BR
bhadrak,OR_Bhadrak,OR
hisar,HR_Hisar,HR
champawat,UT_Champawat,UT
kaimur,BR_Kaimur,BR
kohima,NL_Kohima,NL
balaghat,MP_Balaghat,MP
suryapet,TG_Suryapet,TG
kolhapur,MH_Kolhapur,MH
north sikkim,SK_North Sikkim,SK
shivpuri,MP_Shivpuri,MP
shahdol,MP_Shahdol,MP
bokaro,JH_Bokaro,JH
rayagada,OR_Rayagada,OR
darbhanga,BR_Darbhanga,BR
kota,RJ_Kota,RJ
sukma,CT_Sukma,CT
gadchiroli,MH_Gadchiroli,MH
kanyakumari,TN_Kanyakumari,TN
peren,NL_Peren,NL
kishanganj,BR_Kishanganj,BR
churachandpur,MN_Churachandpur,MN
kulgam,JK_Kulgam,JK
pali,RJ_Pali,RJ
chamoli,UT_Chamoli,UT
tiruppur,TN_Tiruppur,TN
bongaigaon,AS_Bongaigaon,AS
chamba,HP_Chamba,HP
bidar,KA_Bidar,KA
fatehpur,UP_Fatehpur,UP
neemuch,MP_Neemuch,MP
chatra,JH_Chatra,JH
jayashankar bhupalapally,TG_Jayashankar Bhupalapally,TG
almora,UT_Almora,UT
gajapati,OR_Gajapati,OR
basti,UP_Basti,UP
visakhapatnam,AP_Visakhapatnam,AP
kutch,GJ_Kutch,GJ
sagar,MP_Sagar,MP
osmanabad,MH_Osmanabad,MH
golaghat,AS_Golaghat,AS
raisen,MP_Raisen,MP
rampur,UP_Rampur,UP
kolkata,WB_Kolkata,WB
uttarkashi,UT_Uttarkashi,UT
kurung kumey,AR_Kurung Kumey,AR
mahabubnagar,TG_Mahabubnagar,TG
jhabua,MP_Jhabua,MP
diu,DN_Diu,DN
majuli,AS_Majuli,AS
erode,TN_Erode,TN
gandhinagar,GJ_Gandhinagar,GJ
papum pare,AR_Papum Pare,AR
ariyalur,TN_Ariyalur,TN
botad,GJ_Botad,GJ
balangir,OR_Balangir,OR
sirsa,HR_Sirsa,HR
