Districtid,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,month13,month14,month15,month16,month17
AP_Anantapur,0,0,0,0,0,0,71,31,20,14,73,65,144,371,531,779,1062
AP_Chittoor,0,0,0,0,0,0,80,16,77,35,45,45,52,165,294,441,1259
AP_East Godavari,0,0,0,0,0,0,45,1,6,7,131,82,48,165,460,544,885
AP_Guntur,0,0,0,0,0,0,308,68,37,13,52,78,56,130,361,567,1197
AP_Krishna,0,0,0,0,0,0,258,80,29,29,60,70,139,317,270,429,617
AP_Kurnool,0,0,0,0,0,0,436,117,55,30,66,58,163,322,437,670,814
AP_Prakasam,0,0,0,0,0,0,61,0,2,4,8,10,14,76,97,401,365
AP_S.P.S. Nellore,0,0,0,0,0,0,90,6,53,33,57,65,79,76,102,124,346
AP_Srikakulam,0,0,0,0,0,0,5,0,2,9,7,8,8,20,3,31,757
AP_Visakhapatnam,0,0,0,0,0,0,29,33,10,9,18,12,90,60,200,172,695
AP_Vizianagaram,0,0,0,0,0,0,0,4,3,9,6,15,25,16,59,60,298
AP_West Godavari,0,0,0,0,0,0,59,9,2,5,8,99,90,226,306,320,487
AP_Y.S.R. Kadapa,0,0,0,0,0,0,83,13,6,5,6,37,92,88,353,510,499
AR_Anjaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
AR_Changlang,0,0,0,0,0,0,0,0,0,0,2,30,27,11,7,12,13
AR_East Kameng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR_East Siang,0,0,0,0,0,0,0,0,0,0,0,1,8,0,1,0,0
AR_Kamle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR_Kra Daadi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR_Kurung Kumey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR_Lepa Rada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
AR_Lohit,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0
AR_Longding,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
AR_Lower Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
AR_Lower Siang,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
AR_Lower Subansiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
AR_Namsai,0,0,0,0,0,0,0,0,0,0,0,2,1,1,6,3,5
AR_Pakke Kessang,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AR_Papum Pare,0,0,0,0,0,0,0,0,0,0,1,4,0,19,19,47,48
AR_Shi Yomi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR_Siang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR_Tawang,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-1
AR_Tirap,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0
AR_Upper Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR_Upper Siang,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AR_Upper Subansiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AR_West Kameng,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,12,2
AR_West Siang,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
AS_Dibrugarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS_Udalguri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR_Araria,0,0,0,0,0,0,2,0,2,1,35,33,15,15,13,17,33
BR_Arwal,0,0,0,0,0,0,4,4,4,11,22,9,16,21,10,16,38
BR_Aurangabad,0,0,0,0,0,0,8,6,8,26,19,17,39,45,34,81,19,0,0,0,0,0,0,-82,222,431,346,243,399,699,713,1313,1685,1724
BR_Banka,0,0,0,0,0,0,3,1,28,38,42,18,38,34,25,13,55
BR_Begusarai,0,0,0,0,0,0,11,15,28,76,69,63,37,48,42,87,182
BR_Bhagalpur,0,0,0,0,0,0,5,9,24,34,69,90,91,29,89,128,347
BR_Bhojpur,0,0,0,0,0,0,18,1,17,3,42,22,43,4,59,64,26
BR_Buxar,0,0,0,0,0,0,53,3,3,55,3,9,28,46,24,8,49
BR_Darbhanga,0,0,0,0,0,0,5,4,7,24,47,43,18,68,70,65,51
BR_East Champaran,0,0,0,0,0,0,5,5,6,46,35,30,13,27,9,66,80
BR_Gaya,0,0,0,0,0,0,6,0,2,33,32,36,25,38,21,73,104
BR_Gopalganj,0,0,0,0,0,0,18,0,14,57,20,23,23,55,36,58,115
BR_Jamui,0,0,0,0,0,0,0,0,12,15,7,11,6,5,19,19,70
BR_Jehanabad,0,0,0,0,0,0,4,1,22,79,38,33,11,29,16,24,56
BR_Kaimur,0,0,0,0,0,0,27,5,2,12,31,23,38,10,14,46,14
BR_Katihar,0,0,0,0,0,0,4,7,6,68,49,33,42,48,34,64,55
BR_Khagaria,0,0,0,0,0,0,0,5,38,74,37,120,17,5,2,23,90
BR_Kishanganj,0,0,0,0,0,0,0,1,11,2,30,49,29,10,25,37,35
BR_Lakhisarai,0,0,0,0,0,0,4,0,10,12,11,30,4,14,40,11,40
BR_Madhepura,0,0,0,0,0,0,2,0,14,25,22,34,44,12,34,29,42
BR_Madhubani,0,0,0,0,0,0,18,6,29,80,57,27,74,50,96,60,88
BR_Munger,0,0,0,0,0,0,95,9,21,15,15,27,86,28,37,63,121
BR_Muzaffarpur,0,0,0,0,0,0,0,3,17,15,20,23,73,54,83,156,195
BR_Nalanda,0,0,0,0,0,0,36,3,28,16,26,11,24,21,35,147,103
BR_Nawada,0,0,0,0,0,0,4,1,30,23,28,39,55,20,53,86,145
BR_Patna,0,0,0,0,0,0,44,8,54,90,44,33,44,79,168,401,726
BR_Purnia,0,0,0,0,0,0,1,1,27,7,36,64,84,35,33,22,53
BR_Rohtas,0,0,0,0,0,0,52,7,18,77,52,24,52,27,16,45,46
BR_Saharsa,0,0,0,0,0,0,0,2,11,8,39,20,27,27,30,92,40
BR_Samastipur,0,0,0,0,0,0,0,7,8,41,15,44,34,62,101,56,68
BR_Saran,0,0,0,0,0,0,7,1,2,19,38,34,46,36,17,62,68
BR_Sheikhpura,0,0,0,0,0,0,1,1,19,20,47,20,12,10,10,27,26
BR_Sheohar,0,0,0,0,0,0,0,3,1,2,3,15,29,21,6,16,14
BR_Sitamarhi,0,0,0,0,0,0,6,0,1,21,23,17,27,26,9,20,18
BR_Siwan,0,0,0,0,0,0,30,3,12,11,24,41,109,79,93,70,91
BR_Supaul,0,0,0,0,0,0,0,1,10,33,16,58,54,25,31,44,85
BR_Vaishali,0,0,0,0,0,0,3,1,7,38,17,24,14,22,18,72,124
BR_West Champaran,0,0,0,0,0,0,5,6,14,9,11,19,37,29,25,109,70
CH_Chandigarh,0,0,0,0,0,0,94,75,22,34,64,23,38,54,24,31,90
CT_Balod,0,0,0,0,0,0,0,0,2,16,6,17,0,3,0,9,6
CT_Baloda Bazar,0,0,0,0,0,0,0,0,0,15,5,76,39,67,31,12,46
CT_Balrampur,0,0,0,0,0,0,0,0,0,1,15,1,20,63,28,17,8,0,0,0,0,0,0,-152,1,9,23,6,7,4,1,12,26,19
CT_Bastar,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,16,38
CT_Bijapur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15
CT_Bilaspur,0,0,0,0,0,0,1,0,0,18,30,49,60,13,2,51,68,0,0,0,0,0,0,0,0,-288,3,11,3,3,8,11,4,4
CT_Dakshin Bastar Dantewada,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,23,26
CT_Dhamtari,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,0,1
CT_Durg,0,0,0,0,0,0,1,9,0,0,1,11,36,35,38,38,20
CT_Gariaband,0,0,0,0,0,0,0,0,0,4,1,5,0,12,7,12,7
CT_Janjgir Champa,0,0,0,0,0,0,0,0,5,10,0,40,70,80,23,21,31
CT_Jashpur,0,0,0,0,0,0,0,0,0,1,15,59,8,21,60,25,1
CT_Kondagaon,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2
CT_Korba,0,0,0,0,0,0,28,0,0,13,1,55,95,67,47,2,34
CT_Koriya,0,0,0,0,0,0,0,0,1,4,24,9,9,7,2,5,12
CT_Mahasamund,0,0,0,0,0,0,0,0,0,0,1,50,21,5,8,3,2
CT_Mungeli,0,0,0,0,0,0,0,0,0,12,70,4,24,9,2,2,0
CT_Narayanpur,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,14,71
CT_Raigarh,0,0,0,0,0,0,0,0,0,9,4,32,17,21,24,25,14
CT_Raipur,0,0,0,0,0,0,6,1,0,1,5,21,94,68,65,151,226
CT_Rajnandgaon,0,0,0,0,0,0,1,0,0,21,13,16,28,78,86,56,42
CT_Sukma,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1
CT_Surajpur,0,0,0,0,0,0,6,0,0,1,1,3,3,3,7,0,7
CT_Surguja,0,0,0,0,0,0,0,0,0,6,1,7,13,15,8,8,29
CT_Uttar Bastar Kanker,0,0,0,0,0,0,0,0,0,5,14,2,5,0,19,21,13
DN_Dadra and Nagar Haveli,0,0,0,0,0,0,0,1,0,1,0,17,10,26,40,78,41
DN_Daman,0,0,0,0,0,0,0,0,0,0,0,0,4,23,50,76,92
DN_Diu,0,0,0,0,0,0,0,0,0,0,0,0,2,8,2,3,10
DL_Delhi,0,0,0,0,0,0,4122,2420,2791,3577,5639,9105,11304,17788,23442,17012,13721
GJ_Ahmedabad,0,0,0,0,0,0,3543,1997,2604,1857,1880,2086,2339,2258,1705,1446,1208
GJ_Amreli,0,0,0,0,0,0,0,0,1,3,5,5,10,16,22,35,36
GJ_Anand,0,0,0,0,0,0,74,3,5,8,9,9,17,21,47,52,42
GJ_Aravalli,0,0,0,0,0,0,19,52,6,21,11,11,18,29,27,30,24
GJ_Banaskantha,0,0,0,0,0,0,29,48,6,16,8,29,14,13,6,51,103
GJ_Bharuch,0,0,0,0,0,0,27,1,4,5,1,16,24,58,69,76,120
GJ_Bhavnagar,0,0,0,0,0,0,53,41,13,7,7,17,28,23,51,82,234
GJ_Botad,0,0,0,0,0,0,27,26,3,0,3,1,5,6,11,17,17
GJ_Chhota Udaipur,0,0,0,0,0,0,14,0,7,1,11,4,3,1,14,5,16
GJ_Dahod,0,0,0,0,0,0,6,14,2,10,4,9,3,3,8,7,61
GJ_Dang,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3
GJ_Devbhumi Dwarka,0,0,0,0,0,0,0,4,8,0,0,3,0,4,1,6,3
GJ_Gandhinagar,0,0,0,0,0,0,67,52,44,47,51,140,58,89,77,83,156
GJ_Gir Somnath,0,0,0,0,0,0,3,1,19,21,1,2,3,3,16,16,41
GJ_Jamnagar,0,0,0,0,0,0,1,22,11,12,8,7,15,41,73,76,77
GJ_Junagadh,0,0,0,0,0,0,0,2,3,21,3,3,11,14,23,77,113
GJ_Kheda,0,0,0,0,0,0,9,20,11,19,17,20,18,14,11,57,97
GJ_Kutch,0,0,0,0,0,0,7,0,7,50,5,8,15,9,40,41,56
GJ_Mahisagar,0,0,0,0,0,0,23,21,4,31,36,1,1,7,11,14,22
GJ_Morbi,0,0,0,0,0,0,1,0,1,1,1,0,2,4,6,18,33
GJ_Narmada,0,0,0,0,0,0,12,0,1,2,3,5,7,16,42,6,14
GJ_Navsari,0,0,0,0,0,0,8,0,0,7,10,6,8,9,41,53,98
GJ_Panchmahal,0,0,0,0,0,0,38,21,10,3,13,16,17,17,33,34,34
GJ_Patan,0,0,0,0,0,0,21,3,14,33,7,20,14,28,24,71,37
GJ_Porbandar,0,0,0,0,0,0,3,0,1,2,3,3,2,0,0,7,3
GJ_Rajkot,0,0,0,0,0,0,58,8,13,8,21,20,20,33,59,127,242
GJ_Sabarkantha,0,0,0,0,0,0,3,14,15,31,38,16,18,13,18,27,54
GJ_Surat,0,0,0,0,0,0,661,193,195,236,280,469,469,554,1185,1472,1863
GJ_Surendranagar,0,0,0,0,0,0,1,0,3,19,10,13,16,24,33,67,84
GJ_Tapi,0,0,0,0,0,0,2,0,0,4,0,0,4,0,-3,5,28
GJ_Vadodara,0,0,0,0,0,0,325,168,146,167,203,249,253,302,308,383,473
GJ_Valsad,0,0,0,0,0,0,6,0,2,10,17,18,4,7,29,105,129
HR_Ambala,0,0,0,0,0,0,14,27,1,0,8,30,88,101,40,49,137
HR_Bhiwani,0,0,0,0,0,0,3,0,3,2,5,44,43,101,206,75,151
HR_Charkhi Dadri,0,0,0,0,0,0,1,0,3,2,7,22,12,13,9,18,2
