Districtid,22/01/2021.2dose1,22/01/2021.2dose2,29/01/2021.2dose1,29/01/2021.2dose2,05/02/2021.2dose1,05/02/2021.2dose2,12/02/2021.2dose1,12/02/2021.2dose2,19/02/2021.2dose1,19/02/2021.2dose2,26/02/2021.2dose1,26/02/2021.2dose2,05/03/2021.2dose1,05/03/2021.2dose2,12/03/2021.2dose1,12/03/2021.2dose2,19/03/2021.2dose1,19/03/2021.2dose2,26/03/2021.2dose1,26/03/2021.2dose2,02/04/2021.2dose1,02/04/2021.2dose2,09/04/2021.2dose1,09/04/2021.2dose2,16/04/2021.2dose1,16/04/2021.2dose2,23/04/2021.2dose1,23/04/2021.2dose2,30/04/2021.2dose1,30/04/2021.2dose2,07/05/2021.2dose1,07/05/2021.2dose2,14/05/2021.2dose1,14/05/2021.2dose2,21/05/2021.2dose1,21/05/2021.2dose2,28/05/2021.2dose1,28/05/2021.2dose2,04/06/2021.2dose1,04/06/2021.2dose2,11/06/2021.2dose1,11/06/2021.2dose2,18/06/2021.2dose1,18/06/2021.2dose2,25/06/2021.2dose1,25/06/2021.2dose2,02/07/2021.2dose1,02/07/2021.2dose2,09/07/2021.2dose1,09/07/2021.2dose2,16/07/2021.2dose1,16/07/2021.2dose2,23/07/2021.2dose1,23/07/2021.2dose2,30/07/2021.2dose1,30/07/2021.2dose2,06/08/2021.2dose1,06/08/2021.2dose2,13/08/2021.2dose1,13/08/2021.2dose2,20/08/2021.2dose1,20/08/2021.2dose2,27/08/2021.2dose1,27/08/2021.2dose2
AN_Nicobars,0,3,111,170,4,2,10,60,7,21,117,62,25,1,98,38,106,114,283,366,313,244,718,809,1386,1201,834,624,243,156,95,90,31,11,39,26,128,93,5,5,48,23,519,256,2826,2667,1960,1750,1598,1435,2093,1659,1430,930,705,645,367,276,131,142,117,114,99,72
AN_North and Middle Andaman,95,149,136,574,7,39,11,102,11,23,238,51,275,64,154,87,224,188,210,188,455,353,1395,1463,7009,6451,4523,3638,789,539,181,125,139,123,391,257,627,470,326,333,271,278,869,828,3641,3462,4544,4485,6164,5746,7318,6573,3300,2800,4216,4003,507,521,1830,1714,1822,1529,1999,1778
AN_South Andaman,136,169,110,371,106,332,47,108,1014,318,1045,270,1054,351,2127,897,566,403,597,460,715,574,3062,2691,9219,8371,7662,6578,3557,3008,1410,1576,1038,1378,1240,1151,1720,1471,1932,1601,1374,1350,1612,1448,12528,8589,7569,6808,10101,9457,11388,10052,6266,5833,5992,5953,5027,4580,6532,6291,4695,4732,7756,6081
AP_Anantapur,363,2939,728,2831,2780,1913,1569,1314,2536,5443,7846,5366,2768,1356,5967,4694,15540,13918,38623,35305,24448,24172,18146,19269,29617,30707,32441,28704,23280,19038,14764,14887,5878,6073,1731,1514,55994,53860,33818,34539,13059,20532,14388,30257,144039,194034,43058,94137,8685,14758,75066,88525,44769,51335,69597,84461,77754,85676,78833,91089,70257,77728,65924,69718
AP_Chittoor,1036,3730,1512,4289,4200,4117,5691,4305,3291,5905,7686,4537,5579,4520,9632,7250,24370,22448,36691,37947,29156,29814,19336,21797,39930,46338,25789,22963,32949,29976,11680,11021,2817,3071,2099,1437,61085,61935,40734,44642,12814,28567,13800,36254,171444,221800,59527,91391,12170,8889,48510,56319,49637,58663,104222,122796,102779,123931,55105,68746,78400,91214,85633,82663
AP_East Godavari,7683,2947,3900,6641,6284,4178,4803,3150,2294,3449,4744,6604,5407,3418,15398,11805,25840,22554,34299,27419,23568,20439,22994,23641,44989,46874,24187,17020,30660,21245,8720,6633,3240,2277,968,1074,98902,85545,42700,46030,44039,74855,17646,53245,193998,261878,40898,136336,18871,20309,89716,101202,46130,66033,112131,128760,112406,114361,36013,31741,15185,12897,97038,82961
AP_Guntur,335,2615,1741,2590,3668,2917,3811,2865,4949,8857,9713,5236,6297,2711,8713,6287,16099,12219,27654,21857,28428,22962,28281,28503,41122,40293,30069,22617,36596,31045,17137,13195,3519,2678,6250,4609,70017,69975,40528,42298,30568,42633,29885,51842,202330,222834,62146,108836,18511,35223,75020,98248,48934,52878,81483,104056,86849,111864,60244,79154,58605,71412,44903,45786
AP_Krishna,700,2064,1662,5042,2969,3107,4376,3940,1556,4046,7083,3569,5242,2500,10484,9635,19194,17252,28294,25367,25582,23340,28892,29315,49640,48248,24987,19476,33925,27307,10125,8468,4168,3625,5725,4583,85890,77975,42282,42032,52262,78498,23565,36338,210544,270291,45744,96206,24617,26291,54527,49165,65862,67538,57674,67430,107520,115630,43153,43142,49775,48890,74084,72444
AP_Kurnool,618,2561,1326,1967,4240,3069,4035,2911,1961,4555,5214,2079,3045,1223,6141,4868,14074,12288,28734,27430,20642,21595,25534,31796,27300,33454,16601,13617,22451,21125,8507,8733,2642,3240,5157,4338,36152,39461,42422,46344,11231,38031,9842,36499,120418,164606,44317,89899,4498,5673,55042,82749,40213,50426,66602,86490,39105,48037,63819,86800,57152,68172,57378,57920
AP_Prakasam,856,4766,605,2689,1829,1591,5977,3071,1455,1806,4982,2230,2735,1660,5370,4047,12865,10463,20780,17721,30336,27294,20657,20289,34157,32802,16491,14745,24775,19542,11876,10534,2427,2160,7400,6721,54944,59272,28206,32553,30465,45003,1403,25051,152236,194134,40023,67416,16648,25669,51986,58403,30834,40316,77822,83829,45497,57630,57374,64962,32906,37659,35679,39787
AP_S.P.S. Nellore,1012,3745,1775,4341,7908,5837,4322,2206,2244,6430,6040,2973,4903,3656,7278,6591,13728,14499,24392,25021,17125,17586,15571,17358,33785,34355,14594,13655,23172,20846,12316,11589,5194,5329,3728,3109,57143,55557,26820,26650,24055,37237,9937,21681,149169,184469,51918,72453,8051,15398,70521,80064,26172,32749,69361,71797,58745,67539,25336,31156,25059,25853,73663,71837
AP_Srikakulam,644,2338,1210,3326,7150,5222,2622,2614,1643,5171,3481,1175,3161,2351,7097,5963,10695,9883,12094,11032,18886,19030,19861,23852,25833,31548,10556,9425,22809,21055,5397,5330,2142,2449,1399,1251,34039,37074,47836,54715,15173,28442,16746,48087,104722,148322,39078,69935,18519,22634,32459,41326,23901,23992,30646,40850,52895,76975,14793,19543,7210,9172,37628,38064
AP_Visakhapatnam,857,3590,3431,5616,3280,3343,5385,2550,2410,5268,9213,6822,5713,2922,9813,8315,14804,13265,21889,20108,49592,44381,29574,28962,35182,36106,14686,12388,38640,30662,17992,13384,5553,4449,3407,3546,69982,58996,61880,62322,65771,58019,45968,63509,200964,221535,83457,112459,25669,23885,52315,62527,51446,61271,76271,83866,99118,112648,94248,102700,118598,122329,90739,90814
AP_Vizianagaram,455,2304,1220,2297,2269,1776,2631,1512,1483,4083,3228,1570,2543,1514,3838,3256,7799,7714,11336,10923,15341,15399,15651,19107,28228,34099,8690,7242,16753,15440,6889,6707,872,908,1089,1156,37786,40974,27876,29643,11721,28040,15334,37723,91008,120564,35746,51216,8282,10194,25825,31662,19977,21788,22537,26637,30649,37549,47096,55057,35017,33561,50498,51610
AP_West Godavari,784,3517,1322,3464,3364,2867,2476,2025,4837,6922,7300,5559,3324,3446,7291,6398,12974,11024,19254,16855,28888,26849,25409,27583,27613,29356,13710,12128,25352,22800,13383,11673,838,749,2153,1231,63904,65731,43539,47019,44661,80370,13118,40688,172834,255635,57048,96328,13599,15203,55720,106494,22546,28252,80920,89074,68993,75995,66069,52236,62329,50741,104942,96199
