Districtid,dose1,dose
AN_Nicobars,22234,8326
AN_North and Middle Andaman,73655,31186
AN_South Andaman,163017,66862
AP_Anantapur,1678857,792184
AP_Chittoor,1935756,838472
AP_East Godavari,2251984,746178
AP_Guntur,2051799,768583
AP_Krishna,2089308,751054
AP_Kurnool,1526599,645147
AP_Prakasam,1442603,692321
AP_S.P.S. Nellore,1391127,670755
AP_Srikakulam,1220963,424235
AP_Visakhapatnam,2314158,815696
AP_Vizianagaram,1081378,359539
AP_West Godavari,1982988,628392
AP_Y.S.R. Kadapa,1237604,563326
AR_Anjaw,11175,2967
AR_Changlang,81359,21775
AR_East Kameng,21746,8134
AR_East Siang,51803,17675
AR_Kamle,6377,1754
AR_Kra Daadi,6123,2365
AR_Kurung Kumey,8672,3282
AR_Lepa Rada,13044,5500
AR_Lohit,29054,7879
AR_Longding,18204,3847
AR_Lower Dibang Valley,30802,9071
AR_Lower Siang,16047,5361
AR_Lower Subansiri,25543,10116
AR_Namsai,59467,15455
AR_Pakke Kessang,7794,3412
AR_Papum Pare,99705,41334
AR_Siang,14110,4680
AR_Tawang,28446,12049
AR_Tirap,30669,7083
AR_Upper Dibang Valley,4000,1376
AR_Upper Siang,17627,6769
AR_Upper Subansiri,23924,9156
AR_West Kameng,53314,16527
AR_West Siang,32920,14074
AS_Baksa,371756,52592
AS_Barpeta,683549,168453
AS_Biswanath,384896,72964
AS_Bongaigaon,369779,70793
AS_Cachar,633577,127542
AS_Charaideo,240400,39618
AS_Chirang,205498,39532
AS_Darrang,395654,75294
AS_Dhemaji,350708,79087
AS_Dhubri,472662,85053
AS_Dibrugarh,716871,180352
AS_Dima Hasao,88493,25646
AS_Goalpara,396855,66818
AS_Golaghat,579371,108394
AS_Hailakandi,334702,58538
AS_Hojai,442941,85792
AS_Jorhat,609267,117911
AS_Kamrup,787264,196244
AS_Kamrup Metropolitan,1116997,445210
AS_Karbi Anglong,176565,45748
AS_Karimganj,386388,77614
AS_Kokrajhar,350526,63492
AS_Lakhimpur,553697,99615
AS_Majuli,111228,34099
AS_Morigaon,428690,70289
AS_Nagaon,794380,160022
AS_Nalbari,356028,66372
AS_Sivasagar,415273,82575
AS_Sonitpur,660110,172026
AS_South Salmara Mankachar,178768,11934
AS_Tinsukia,531786,104883
AS_Udalguri,300785,54174
AS_West Karbi Anglong,88702,16050
BR_Araria,744505,140201
BR_Arwal,280158,36528
BR_Aurangabad,1194408,395830
BR_Banka,638697,101096
BR_Begusarai,907189,152318
BR_Bhagalpur,1084699,222638
BR_Bhojpur,802286,132935
BR_Buxar,514551,99406
BR_Darbhanga,1280405,249008
BR_East Champaran,1636430,283403
BR_Gaya,1276728,239908
BR_Gopalganj,695458,119562
BR_Jamui,507059,75027
