Stateid,wave1 - weekid,wave2_weekid,wave1_monthid,wave2_monthid
AP_Andhra Pradesh,49,122,9,5
AR_Arunachal Pradesh,125,141,5,7
BR_Bihar,43,118,8,5
CT_Chhattisgarh,53,116,9,4
DN_Dadra and Nagar Haveli and Daman and Diu,43,115,8,4
GJ_Gujarat,73,117,11,5
HR_Haryana,52,119,9,5
HP_Himachal Pradesh,75,120,12,5
JK_Jammu and Kashmir,52,120,9,5
JH_Jharkhand,49,117,9,5
KA_Karnataka,59,119,10,5
KL_Kerala,120,144,5,8
LA_Ladakh,114,125,4,5
MP_Madhya Pradesh,54,116,9,4
MH_Maharashtra,51,115,9,4
ML_Meghalaya,124,143,5,7
MZ_Mizoram,57,72,10,11
NL_Nagaland,40,122,8,5
OR_Odisha,55,122,9,5
PB_Punjab,53,120,9,5
RJ_Rajasthan,73,119,11,5
TN_Tamil Nadu,48,124,9,5
TR_Tripura,50,124,9,5
UP_Uttar Pradesh,51,116,9,4
UT_Uttarakhand,53,120,9,5
WB_West Bengal,64,121,10,5
