C-17 POPULATION BY BILINGUALISM AND TRILINGUALISM,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
State,State name,Total speakers of languages,,,,,Number of speakers speaking subsidiary languages      (1st language),,,,,Number of speakers speaking subsidiary languages      (2nd language),,,,
Code,,Code,Name,Persons,Males,Females,Code,1 st subsidiary languages,Persons,Males,Females,Code,2nd subsidiary languages,Persons,Males,Females
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,
06,HARYANA,001000,ASSAMESE,4204,2236,1968,,,,,,,,,,
06,HARYANA,,,,,,002000,BENGALI ,52,30,22,,,,,
06,HARYANA,,,,,,,,,,,006000,HINDI ,12,10,2
06,HARYANA,,,,,,,,,,,014000,NEPALI ,1,0,1
06,HARYANA,,,,,,,,,,,040000,ENGLISH ,4,2,2
06,HARYANA,,,,,,006000,HINDI ,2337,1281,1056,,,,,
06,HARYANA,,,,,,,,,,,002000,BENGALI ,31,25,6
06,HARYANA,,,,,,,,,,,003000,BODO ,2,2,0
06,HARYANA,,,,,,,,,,,010000,MAITHILI ,1,0,1
06,HARYANA,,,,,,,,,,,014000,NEPALI ,10,6,4
06,HARYANA,,,,,,,,,,,016000,PUNJABI ,4,1,3
06,HARYANA,,,,,,,,,,,022000,URDU,5,4,1
06,HARYANA,,,,,,,,,,,040000,ENGLISH ,758,467,291
06,HARYANA,,,,,,012000,MANIPURI ,1,1,0,,,,,
06,HARYANA,,,,,,014000,NEPALI ,1,1,0,,,,,
06,HARYANA,,,,,,,,,,,006000,HINDI ,1,1,0
06,HARYANA,,,,,,016000,PUNJABI ,2,0,2,,,,,
06,HARYANA,,,,,,,,,,,006000,HINDI ,2,0,2
06,HARYANA,,,,,,017000,SANSKRIT ,1,1,0,,,,,
06,HARYANA,,,,,,,,,,,006000,HINDI ,1,1,0
06,HARYANA,,,,,,022000,URDU,12,4,8,,,,,
06,HARYANA,,,,,,,,,,,006000,HINDI ,4,2,2
06,HARYANA,,,,,,028000,ARABIC/ARBI ,1,0,1,,,,,
06,HARYANA,,,,,,,,,,,006000,HINDI ,1,0,1
06,HARYANA,,,,,,040000,ENGLISH ,477,268,209,,,,,
06,HARYANA,,,,,,,,,,,002000,BENGALI ,17,9,8
06,HARYANA,,,,,,,,,,,006000,HINDI ,352,207,145
06,HARYANA,,,,,,,,,,,124000,OTHERS,1,1,0
06,HARYANA,,,,,,124000,OTHERS,3,0,3,,,,,
06,HARYANA,,,,,,,,,,,040000,ENGLISH ,3,0,3
06,HARYANA,002000,BENGALI ,70948,38550,32398,,,,,,,,,,
06,HARYANA,,,,,,001000,ASSAMESE,37,18,19,,,,,
06,HARYANA,,,,,,,,,,,006000,HINDI ,15,8,7
06,HARYANA,,,,,,,,,,,020000,TAMIL ,1,1,0
06,HARYANA,,,,,,,,,,,040000,ENGLISH ,4,3,1
06,HARYANA,,,,,,005000,GUJARATI,6,2,4,,,,,
06,HARYANA,,,,,,,,,,,006000,HINDI ,2,0,2
06,HARYANA,,,,,,,,,,,040000,ENGLISH ,2,1,1
06,HARYANA,,,,,,,,,,,124000,OTHERS,1,0,1
06,HARYANA,,,,,,006000,HINDI ,36789,20779,16010,,,,,
06,HARYANA,,,,,,,,,,,001000,ASSAMESE,56,35,21
06,HARYANA,,,,,,,,,,,005000,GUJARATI,8,4,4
06,HARYANA,,,,,,,,,,,007000,KANNADA,2,2,0
06,HARYANA,,,,,,,,,,,008000,KASHMIRI ,1,1,0
06,HARYANA,,,,,,,,,,,010000,MAITHILI ,5,2,3
06,HARYANA,,,,,,,,,,,011000,MALAYALAM,3,1,2
06,HARYANA,,,,,,,,,,,013000,MARATHI ,8,4,4
06,HARYANA,,,,,,,,,,,014000,NEPALI ,13,8,5
06,HARYANA,,,,,,,,,,,015000,ODIA ,4,2,2
06,HARYANA,,,,,,,,,,,016000,PUNJABI ,62,39,23
06,HARYANA,,,,,,,,,,,017000,SANSKRIT ,13,8,5
06,HARYANA,,,,,,,,,,,020000,TAMIL ,2,2,0
06,HARYANA,,,,,,,,,,,021000,TELUGU ,3,2,1
06,HARYANA,,,,,,,,,,,022000,URDU,100,58,42
06,HARYANA,,,,,,,,,,,028000,ARABIC/ARBI ,3,2,1
06,HARYANA,,,,,,,,,,,040000,ENGLISH ,10511,5940,4571
06,HARYANA,,,,,,,,,,,073000,LADAKHI ,1,0,1
06,HARYANA,,,,,,,,,,,116000,TRIPURI ,2,1,1
06,HARYANA,,,,,,,,,,,124000,OTHERS,56,38,18
06,HARYANA,,,,,,010000,MAITHILI ,1,1,0,,,,,
06,HARYANA,,,,,,013000,MARATHI ,9,3,6,,,,,
06,HARYANA,,,,,,,,,,,006000,HINDI ,3,1,2
06,HARYANA,,,,,,,,,,,040000,ENGLISH ,4,2,2
06,HARYANA,,,,,,014000,NEPALI ,23,11,12,,,,,
06,HARYANA,,,,,,,,,,,001000,ASSAMESE,3,2,1
06,HARYANA,,,,,,,,,,,006000,HINDI ,5,3,2
06,HARYANA,,,,,,,,,,,040000,ENGLISH ,5,2,3
06,HARYANA,,,,,,015000,ODIA ,1,1,0,,,,,
06,HARYANA,,,,,,,,,,,040000,ENGLISH ,1,1,0
06,HARYANA,,,,,,016000,PUNJABI ,70,25,45,,,,,
06,HARYANA,,,,,,,,,,,006000,HINDI ,23,8,15
06,HARYANA,,,,,,,,,,,040000,ENGLISH ,7,3,4
06,HARYANA,,,,,,017000,SANSKRIT ,5,2,3,,,,,
06,HARYANA,,,,,,,,,,,006000,HINDI ,2,0,2
06,HARYANA,,,,,,018000,SANTALI ,2,1,1,,,,,
06,HARYANA,,,,,,020000,TAMIL ,8,4,4,,,,,
06,HARYANA,,,,,,,,,,,006000,HINDI ,3,2,1
06,HARYANA,,,,,,,,,,,040000,ENGLISH ,4,2,2
06,HARYANA,,,,,,021000,TELUGU ,1,0,1,,,,,
06,HARYANA,,,,,,,,,,,006000,HINDI ,1,0,1
06,HARYANA,,,,,,022000,URDU,169,102,67,,,,,
06,HARYANA,,,,,,,,,,,006000,HINDI ,40,21,19
06,HARYANA,,,,,,,,,,,040000,ENGLISH ,4,2,2
06,HARYANA,,,,,,028000,ARABIC/ARBI ,6,5,1,,,,,
06,HARYANA,,,,,,,,,,,006000,HINDI ,2,2,0
06,HARYANA,,,,,,040000,ENGLISH ,7291,3930,3361,,,,,
06,HARYANA,,,,,,,,,,,001000,ASSAMESE,24,13,11
06,HARYANA,,,,,,,,,,,005000,GUJARATI,3,2,1
06,HARYANA,,,,,,,,,,,006000,HINDI ,5019,2731,2288
06,HARYANA,,,,,,,,,,,013000,MARATHI ,10,6,4
06,HARYANA,,,,,,,,,,,015000,ODIA ,2,1,1
06,HARYANA,,,,,,,,,,,016000,PUNJABI ,22,12,10
06,HARYANA,,,,,,,,,,,017000,SANSKRIT ,15,8,7
06,HARYANA,,,,,,,,,,,021000,TELUGU ,1,1,0
06,HARYANA,,,,,,,,,,,022000,URDU,5,5,0
06,HARYANA,,,,,,,,,,,028000,ARABIC/ARBI ,1,1,0
06,HARYANA,,,,,,,,,,,124000,OTHERS,36,15,21
06,HARYANA,,,,,,075000,LAHNDA ,1,0,1,,,,,
06,HARYANA,,,,,,124000,OTHERS,65,38,27,,,,,
