C-17 POPULATION BY BILINGUALISM AND TRILINGUALISM,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
State,State name,Total speakers of languages,,,,,Number of speakers speaking subsidiary languages      (1st language),,,,,Number of speakers speaking subsidiary languages      (2nd language),,,,
Code,,Code,Name,Persons,Males,Females,Code,1 st subsidiary languages,Persons,Males,Females,Code,2nd subsidiary languages,Persons,Males,Females
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,
19,WEST BENGAL,001000,ASSAMESE,7342,4595,2747,,,,,,,,,,
19,WEST BENGAL,,,,,,002000,BENGALI ,1639,856,783,,,,,
19,WEST BENGAL,,,,,,,,,,,006000,HINDI ,446,261,185
19,WEST BENGAL,,,,,,,,,,,014000,NEPALI ,65,33,32
19,WEST BENGAL,,,,,,,,,,,015000,ODIA ,1,1,0
19,WEST BENGAL,,,,,,,,,,,018000,SANTALI ,1,0,1
19,WEST BENGAL,,,,,,,,,,,028000,ARABIC/ARBI ,1,1,0
19,WEST BENGAL,,,,,,,,,,,040000,ENGLISH ,150,86,64
19,WEST BENGAL,,,,,,003000,BODO ,4,3,1,,,,,
19,WEST BENGAL,,,,,,,,,,,006000,HINDI ,1,1,0
19,WEST BENGAL,,,,,,006000,HINDI ,2935,2127,808,,,,,
19,WEST BENGAL,,,,,,,,,,,002000,BENGALI ,405,272,133
19,WEST BENGAL,,,,,,,,,,,003000,BODO ,1,0,1
19,WEST BENGAL,,,,,,,,,,,005000,GUJARATI,4,2,2
19,WEST BENGAL,,,,,,,,,,,014000,NEPALI ,81,43,38
19,WEST BENGAL,,,,,,,,,,,022000,URDU,5,2,3
19,WEST BENGAL,,,,,,,,,,,040000,ENGLISH ,855,656,199
19,WEST BENGAL,,,,,,,,,,,076000,LAKHER,1,1,0
19,WEST BENGAL,,,,,,012000,MANIPURI ,1,1,0,,,,,
19,WEST BENGAL,,,,,,,,,,,006000,HINDI ,1,1,0
19,WEST BENGAL,,,,,,014000,NEPALI ,196,97,99,,,,,
19,WEST BENGAL,,,,,,,,,,,002000,BENGALI ,60,30,30
19,WEST BENGAL,,,,,,,,,,,006000,HINDI ,84,43,41
19,WEST BENGAL,,,,,,,,,,,040000,ENGLISH ,14,8,6
19,WEST BENGAL,,,,,,016000,PUNJABI ,1,1,0,,,,,
19,WEST BENGAL,,,,,,,,,,,006000,HINDI ,1,1,0
19,WEST BENGAL,,,,,,018000,SANTALI ,3,2,1,,,,,
19,WEST BENGAL,,,,,,020000,TAMIL ,1,1,0,,,,,
19,WEST BENGAL,,,,,,,,,,,002000,BENGALI ,1,1,0
19,WEST BENGAL,,,,,,021000,TELUGU ,1,0,1,,,,,
19,WEST BENGAL,,,,,,,,,,,006000,HINDI ,1,0,1
19,WEST BENGAL,,,,,,022000,URDU,3,2,1,,,,,
19,WEST BENGAL,,,,,,,,,,,002000,BENGALI ,1,1,0
19,WEST BENGAL,,,,,,,,,,,006000,HINDI ,1,0,1
19,WEST BENGAL,,,,,,,,,,,040000,ENGLISH ,1,1,0
19,WEST BENGAL,,,,,,040000,ENGLISH ,1126,721,405,,,,,
19,WEST BENGAL,,,,,,,,,,,002000,BENGALI ,123,68,55
19,WEST BENGAL,,,,,,,,,,,006000,HINDI ,457,281,176
19,WEST BENGAL,,,,,,,,,,,014000,NEPALI ,9,6,3
19,WEST BENGAL,,,,,,124000,OTHERS,1,1,0,,,,,
19,WEST BENGAL,,,,,,,,,,,007000,KANNADA,1,1,0
19,WEST BENGAL,002000,BENGALI ,78698852,40215336,38483516,,,,,,,,,,
19,WEST BENGAL,,,,,,001000,ASSAMESE,8139,4119,4020,,,,,
19,WEST BENGAL,,,,,,,,,,,003000,BODO ,4,2,2
19,WEST BENGAL,,,,,,,,,,,005000,GUJARATI,8,6,2
19,WEST BENGAL,,,,,,,,,,,006000,HINDI ,1690,1042,648
19,WEST BENGAL,,,,,,,,,,,010000,MAITHILI ,1,0,1
19,WEST BENGAL,,,,,,,,,,,012000,MANIPURI ,1,1,0
19,WEST BENGAL,,,,,,,,,,,013000,MARATHI ,2,1,1
19,WEST BENGAL,,,,,,,,,,,014000,NEPALI ,61,43,18
19,WEST BENGAL,,,,,,,,,,,015000,ODIA ,23,15,8
19,WEST BENGAL,,,,,,,,,,,016000,PUNJABI ,4,4,0
19,WEST BENGAL,,,,,,,,,,,017000,SANSKRIT ,5,3,2
19,WEST BENGAL,,,,,,,,,,,018000,SANTALI ,2,2,0
19,WEST BENGAL,,,,,,,,,,,020000,TAMIL ,2,1,1
19,WEST BENGAL,,,,,,,,,,,021000,TELUGU ,3,3,0
19,WEST BENGAL,,,,,,,,,,,022000,URDU,8,5,3
19,WEST BENGAL,,,,,,,,,,,028000,ARABIC/ARBI ,2,2,0
19,WEST BENGAL,,,,,,,,,,,040000,ENGLISH ,721,420,301
19,WEST BENGAL,,,,,,,,,,,052000,KARBI/MIKIR ,1,1,0
19,WEST BENGAL,,,,,,,,,,,055000,KHASI ,4,3,1
19,WEST BENGAL,,,,,,,,,,,072000,KURUKH/ORAON ,1,1,0
19,WEST BENGAL,,,,,,,,,,,088000,MISHMI ,2,2,0
19,WEST BENGAL,,,,,,,,,,,102000,RABHA ,1,1,0
19,WEST BENGAL,,,,,,,,,,,124000,OTHERS,11,6,5
19,WEST BENGAL,,,,,,003000,BODO ,1160,588,572,,,,,
19,WEST BENGAL,,,,,,,,,,,006000,HINDI ,127,75,52
19,WEST BENGAL,,,,,,,,,,,014000,NEPALI ,11,8,3
19,WEST BENGAL,,,,,,,,,,,018000,SANTALI ,1,1,0
19,WEST BENGAL,,,,,,,,,,,040000,ENGLISH ,8,6,2
19,WEST BENGAL,,,,,,,,,,,072000,KURUKH/ORAON ,1,0,1
19,WEST BENGAL,,,,,,,,,,,124000,OTHERS,3,1,2
19,WEST BENGAL,,,,,,004000,DOGRI ,1,1,0,,,,,
19,WEST BENGAL,,,,,,005000,GUJARATI,1350,826,524,,,,,
19,WEST BENGAL,,,,,,,,,,,001000,ASSAMESE,2,2,0
19,WEST BENGAL,,,,,,,,,,,006000,HINDI ,297,194,103
19,WEST BENGAL,,,,,,,,,,,010000,MAITHILI ,1,1,0
19,WEST BENGAL,,,,,,,,,,,013000,MARATHI ,14,5,9
19,WEST BENGAL,,,,,,,,,,,014000,NEPALI ,5,5,0
19,WEST BENGAL,,,,,,,,,,,015000,ODIA ,3,3,0
19,WEST BENGAL,,,,,,,,,,,016000,PUNJABI ,5,2,3
19,WEST BENGAL,,,,,,,,,,,017000,SANSKRIT ,1,1,0
19,WEST BENGAL,,,,,,,,,,,020000,TAMIL ,2,1,1
19,WEST BENGAL,,,,,,,,,,,022000,URDU,6,4,2
19,WEST BENGAL,,,,,,,,,,,028000,ARABIC/ARBI ,2,1,1
19,WEST BENGAL,,,,,,,,,,,040000,ENGLISH ,98,55,43
19,WEST BENGAL,,,,,,,,,,,124000,OTHERS,2,2,0
19,WEST BENGAL,,,,,,006000,HINDI ,3865746,2530659,1335087,,,,,
19,WEST BENGAL,,,,,,,,,,,001000,ASSAMESE,4514,2982,1532
19,WEST BENGAL,,,,,,,,,,,003000,BODO ,122,80,42
19,WEST BENGAL,,,,,,,,,,,004000,DOGRI ,3,2,1
